,Comment,Speaker,Tag,word_count,negative,neutral,positive,compound
18,"Who is he 
 Senior analyst  retention and engagement analytics decision science at Peacock
 DirecttoConsumer streaming service 
 What is NBC 
 massive entertainment conglomerate 
 content Parks and Recreation Kardashians Mr Robot Jurassic Park 1917 Saturday Night Live The Office 
 How data and analytics are used at an entertainment company
 marketing product user acquisition structure of website content types of content for diff groups of viewers
 Quinns role at NBC Universal 
 joined an enterprise business intelligence team
 universal studios Hollywood  annual passholder study
 cable  film which targeted marketing initiatives for series and movies
 news  customer segmentation of viewing and web traffic data research
 content correlations viewer segmentations streaming studies
 Case Study Segmenting Website Visitors for a News site
 Goal study what drives loyalty on website and identify distinct segments of visitors 
 Project Kickoff Data Source Validation Data Analysis Collect Insights and Report Out
 Result Targetable clusters of visitors profiled by content preferences for a loyalty campaign 
 Core skills across roles in Data Science 
 Soft Skills Communication enthusiasm willingness to learn domain knowledge
 Technical Skills SQL RPython Visualization Platform ie Tableau Statistics",Sweetnam,1,191,0,1,0,0
19,"I think the most important things I learned from Mr Sweetnams talk is the differentiation between datarelated job positions Previously I have only had very vague perceptions of the dataoriented roles based on my knowledge The tables and charts and MrSweetnan provides to distinguish different types of jobs are very useful They consist of the specific functions of these job positions and the required specialized skills accordingly 
 
 Personally I think my previous trainings and experiences best align with the role of data creative I have applied for multiple Business AnalyticsData Science master programs and since I havent only had limited internship working in the industry my business knowledge is insufficient This makes me fall into the category of a data analyst data creative who works to conduct exploratory analysis and modeling Also I have reinforced my decision not to pursue a career as a data engineer or a researcher at my current stage as the specialized knowledge required for these positions do not quite fit my own",Sweetnam,1,169,0,0.84,0.16,0.2716
20,SQL is important for statisticians Good communication skills require you to let your clients who do not know statistics understand what you are talking about Dont be too demanding and force yourself to know everything,Sweetnam,0,35,0,0.68,0.32,0.5719
21,"There were a lot of things that I was able to take away from Mr Sweetnams Lecture
 however the one thing that stuck with me the most was that he said that it is better to pick
 your passion and to be a master at it rather than to try to spread yourself too thin and learn
 every single thing in the industry I liked that he was very clear in describing both his past experience with NBCUniversal and
 what the roles required It was interesting that he mentioned that part of his job is not just analyzing data but also
 deciding how to capture the data what data is important to capture and how to store the
 data This was something that I had not thought about when it comes to a role as a Data
 Scientist Being given the freedom and responsibility to not only work with an analyze
 industry data but being a deciding role on what will give you the results you are looking for
 goes even deeper It really stood out to me when he said that the most common models he will create are
 logistic regression models This goes back to what I learned in STATS 101C and has been
 reiterated in this class  that oftentimes the best model is the simplest one and it will be the
 one that is best received by a client because it will be the easiest to understand and get the
 job done as opposed to high level neural networks Additionally I really appreciated that he explained the flow of his work  starting off with a
 goal and coming to a clear research question then data source validation where
 communication is a big part followed by the actual work in data analysis and collecting
 insights and asking questions then finally having a deliverable at the end to report Something that will stick with me from this speech was that he said it is easy to get too deep
 into the data and go on tangents and start looking into the data and getting off track You
 want to make sure you are always answering the question and with everything you do to go
 back and see if it is helping you find a solution the client is asking for Finally I learned that it is ok to not be an expert at everything SQL Python Tableau R right
 when you get out of college but you should definitely have familiarity with all of those
 concepts and for me at UCLA R is obviously my strongest suit because that is what we are
 taught and use most When it comes to interviews it was comforting to hear that with SQL
 and other things you should know the basics of a left join and group by which are all things
 that can be picked up very quickly especially if you have a willingness to learn",Sweetnam,1,487,0,1,0,0
22,I found Quinns talk to be very engaging and interesting I always here about how undergraduates want to become data scientists but I never really know what that job entailed so it was great to hear Quinn talk specifically about his projects and daytoday activities As someone who isnt pursuing data science after graduation it definitely intrigued me and is something I would consider further down the line I also found it interesting how Quinn mentioned there are many different roles within data science and you dont necessarily have to be an expert in every facet of data science I personally am not that strong in programming so it was good to hear how there are many roles within data science that do not focus heavily on programming but are roles where I can apply my other strengths to,Sweetnam,1,139,0,0.828,0.172,0.4005
23,I found Quinns presentation to be exceptionally helpful for an aspiring professional It was helpful to learn about how he spends his day  5050 on coding vs generating insights I think it will be pertinent to my future career in consulting especially as it pertains to balancing my workday Furthermore his segmentation of datarelated careers into data businesspersons data creatives data researchers and data engineers made the industry seem a lot more accessible from the standpoint of a soontobe graduate Even if one does not have a huge expertise in mathematics or coding you can still enter the data business and make an impact through more product management and business related positions Overall I was really engaged by Quinns talk and would honestly have loved to hear it earlier in my degree before I had secured a job It definitely made me feel inspired to pursue a career more related to statistics,Sweetnam,1,153,0,1,0,0
24,Mr Sweetnam provided insight about how data science is applied in industry particularly in entertainment It is refreshing to view the realm of statistics from the applied perspective and I was especially amazed by the fact that data analysts typically use only 30 of their time writing code They spend plenty of their time brainstorming data insights producing visualizations communicating with stakeholders and learning new technologies Our domain knowledge will serve as tools and the main objective of us as data analysts or scientists is producing value for business whether it is about customer segmentation user research or content selection,Sweetnam,1,100,0,1,0,0
25,From Mr Sweetnams talk I learned that a data analyst can work within a conglomerate on a projectbased system as well as across different aspects of the business I also knew that many firms might have different definitions and functions for the same positions such as business analyst or data scientist However although there might be difference in the functions of different positions many skills are required in these positions such as communications skills and command of SQL,Sweetnam,0,78,0,1,0,0
26,"I feel like I learned the most about what I wanted to know from this talk when compared
 to the other guest speakers we have had Mr Sweetnam is a UCLA 18 graduate who works as
 a Senior Analyst  Retention  Engagement Analytics Decision Sciences at Peacock part of
 NBCUniversal He used to work on the Enterprise Business Intelligence team but now works for
 Decision Sciences where he works with retention and engagement analytics One of his case
 studies involved seeing what drives loyalty on the website and identifying distinct segments of
 visitors He explained that most of the time spent working on a project is focused on the data
 source validation and data analysis He also gave us different soft and technical skills that we
 should know as aspiring analysts the most important of which is communication and being able
 to communicate technical ideas to a nontechnical audience Overall I really enjoyed Mr
 Sweetnams talk and his practical advice regarding the items of importance in an analyst role",Sweetnam,1,170,0,0.828,0.172,0.3612
27,Mr Sweetnam talked about different industrial working positions under the filed of data science and requirements for each position Soft skills such as communicating skills are more important compared to technical skills which can make up during the working time,Sweetnam,0,40,0,1,0,0
28,"On February 5th our Stats 141SL class had a guest speaker Quinn Sweetnam a senior
 data engineer from NBC universal As a former UCLA statistic student Quinn shared a lot of
 insights and experience about his career choice and gave us a lot of advice for our future
 I found Quinns talk really helpful because of his easygoing attitude and the closeness between
 us since he was one of us in the same classroom taking the same class a couple of years ago His
 experience also gave us a lot of confidence that we could survive do well and one day become
 as professional as Quinn is 
 
 The most interesting topic Mr Sweetnam brought is how the data and analytics are used
 at an entertainment company Quinn emphasized on two different directions Marketing and
 Product management For the marketing group data could give an idea about how should people
 optimize the marketing strategy across different channels and what groups of programs should
 the manager market together For the product side Quinn gave us an example that data could tell
 whats the effect on user acquisition of offering 2 free episodes before a paywall on the app
 Overall it is an honor to hear from a former student of UCLA talking about his career",Sweetnam,1,215,0,1,0,0
29,Mr Sweetnam had a very informative and organized talk yesterday The one thing that I learned was how to solve a problem that arise or requested by clients There are five steps which are figuring out the question collecting data and cleaning data analyzing the data interpreting the data and the output and presenting to clients This can serve as a guide for me next time I need to solve a problem so I wont be lost when facing a new question He also talked about the skills that are important to different career paths that are possible for our statistics students and which are more important to specific career path This is very helpful because I now have a better understanding on what I should work on to get the job I want And plus I learned that knowing SQL is very important,Sweetnam,1,144,0,1,0,0
30,Data analytics at an entertainment company focuses on marketing product and content questions Usually in a data team everyone takes different aspects of tasks Daily time distribution for data analysts are about 50 coding and 50 communicating SQL is the most importantfundamental skill so as communication,Sweetnam,0,46,0,0.797,0.203,0.4215
31,From Mr Sweetnams talk I learned how the data and analytics be used at an entertainment company We should think about that from marketing product and content Then he specifically talked about a case and I learned how does industry accept Data Projects Project Kickoff  Data Source Validation  Data Analysis  Collect Insights  Report Out Besides He emphasized the importance of communication and SQL which I should practice and learn more to get a data science job Finally I also learned the difference of skillsets for advanced analyst data product owner data engineer data scientist and business analyst,Sweetnam,1,101,0,1,0,0
32,"I really enjoyed Quinn Sweetnams presentation to the class and learned a lot about how the job title Data
 Science is really an umbrella term used to describe a number of different roles pertaining to data When
 looking for a job Quinn stressed the importance of asking questions about the role because the listing of
 Data Scientist can mean a number of different things in todays world For example a company could list
 Data Scientist as the job title but they could be looking for a role as a Data Engineer Data Analyst Data
 Product Owner etc He also stressed the importance of both soft skills and hard skills and mentioned that
 you should be able to tell your mom what you are doing in class I found this advice useful because it is
 important to be able to take complex ideas and synthesis them into something anyone can understand I also
 learned the importance of not trying to learn everything Quinn stressed that we should become an expert in
 one skill and know enough of other skills to be dangerous The End to End Data Project visual was also
 useful to understand what a typical project outline looks like for Quinn I learned that around 50 of time
 is spent on code and the remaining 50 is typically spent turning insights into actions This aligns with
 what Quinn stressed about the soft skills being as important if not more important as the hard skills in his
 particular role Overall I gained a lot of insights about Quinns role at NBCUniversal and what has have
 helped him be successful as a recent UCLA graduate",Sweetnam,1,274,0,0.736,0.264,0.5563
33,"The most important thing I learned from this talk is the core skills of being a data analyst First for technical skills we need to be equipped with SQL RPython visualization platform and undoubtedly knowledge in statistics Also speaking of soft skills it is important for us to know how to communicate with others be passionate about our work and always be open to new knowledge
 Besides I also have a broad idea of how a case study was conducted at an entertainment company which is mostly like what we usually did in a statistics class data validation data analysis written report and visualization One thing is a little bit different is that we seldom do project kickoff in class because we are told what the right question is whereas in reality we need to figure it out by ourselves with our team members",Sweetnam,1,144,0,0.851,0.149,0.2716
34,"I genuinely believe that each talk we have had in this Stats 141SL class has been better than the last The learning curve from Quinns talk was definitely really high for me I appreciated how energetic passionate and knowledgeable Quinn was about the subject I think he really gained my attention as a speaker when he explained in a casestudy manner about his roles and duties as a Data Analyst for NBCUniversal My key takeaways were
 1 Data Analysis Has a Far Reaching Impact Quinn explained how data analysis intermingles with psychology and human behavior as he explained how he extracted data to point out customer trends while watching warrelated movies This led to his team suggesting showing 1917 movie advertisements before Private Ryan on NBCUs soontobelaunched streaming service Peacock
 2 Data Analysts Have a Wide Variety of Responsibilities Quinn mentioned that his role included doing project management for an analytics database I learned that the career progression for data analysts is steep as it comes with a lot of learning and growth opportunities From his talk I gauged that in the past 2 years he had been able to equip himself with soft skills like learning to lead a project team and hard skills such as database management and structure and storage of data which I thought was a role exclusively reserved for data engineers 
 3 Data Analysis as a Launchpad for Future Careers As Quinns role includes things like promo analyses and recommendations as well as creating churn and engagement models I feel like data analyst roles set up people for great success in their career paths I think Quinn is equipped now to pursue highpaying and prestigious roles in product management finance and marketingadvertising",Sweetnam,1,288,0,1,0,0
35,"I really enjoyed Mr Sweetnams talk I think by far he had the most applicable
 advice to college students trying to break into the data science industry although he
 mentioned that the word data science encompasses many things and there are
 actually many different types of data scientists These are the things I found particularly
 helpful from his talk
 Firstly he talked about a day in the life of data analytics  50 of time spent
 around code which includes writing code troubleshooting learning new technologies
 and 50 spent on the report itself which includes compiling insights  visuals talking
 with stakeholders answering questions
 Secondly he discussed the core skills across roles in data science  soft skills
 which includes communication enthusiasm willingness to learn domain knowledge
 and technical skills which includes SQL  RPython visualization platform statistical
 knowledge
 Thirdly he delved into the individual roles in data science and what each one
 meant  advanced analyst data product owner data engineer data scientist and
 business analyst
 Lastly he advised us to focus on developing a T profile set of skills by picking
 our passion and building supplementary skills on everything else ranging from machine
 learning math programming and statistics
 Overall I really enjoyed Mr Sweetnams talk and thought that he provided many
 helpful insights into the data science industry",Sweetnam,1,220,0,0.77,0.23,0.5563
36,"I thought that the talk with Quinn Sweetnam was very interesting and informative I found it to be
 the most useful of the talks personally because I am still trying to figure out exactly what aspects
 I would like to focus on with my statistics major Hearing about what Mr Sweetnam does on a
 daily basis and the work that he has done was very intriguing to me and I believe it is almost
 exactly what I would like to do in the future I liked how he talked about the different ways that
 NBCUniversal markets their products and how they can measure relationships based off of a
 consumers behavior He mentioned that it was important to be willing to learn which is
 something that Dr Kricorian said as well I also found this talk to be more relatable to me
 because Mr Sweetnam only graduated from UCLA two years ago Overall it was very intriguing
 and informative to hear about his professional experiences",Sweetnam,1,164,0,1,0,0
37,Some of the things I learned from Quinn Sweetnams talk were the soft skills a data scientistdata analyst should have These skills include communication enthusiasm willingness to learn and domain knowledge Another thing I learned were the technical skills a data scientistdata analyst should have These skills include SQL R Python proficiency with a visualization platform like Tableau and Statistics knowledge Another thing I learned about their job is that it is 50 programming and 50 turning insights into action I also learned about having a Tshaped skill set consisting of business machine learning math programming and statistics,Sweetnam,0,98,0,1,0,0
38,"The main concept I learned from Mr Sweetnams talk was the specific roles and
 procedures data analysts go through in a media  entertainment company I was really fascinated
 by the fact that there are so many ways data can be used in business marketing Until I heard Mr Sweetnams talk I always thought that the result coming out from a data analysis is mostly just numbers that cannot hold meanings such as business marketing strategy
 After I thought about the viewers in NBC Universals perspective I realized that data of
 viewers can be segmented into so many criterias of business marketing strategies In fact just
 like what Mr Sweetnam told us data analysis can be used for not only just business marketing
 but also product and content I was very interested to know that data analysis can provide a
 specificprecise answer on questions such as What is the effect on user acquisition of offering 
 free episodes before a paywall on our app or How can I structure my website to optimize
 customer conversions on the checkout page
 
 The thing I learned other than the data analysis usage was the lesson on the importance
 of communication over the data analysis I remember Mr Sweetnam saying If you come to
 work and make a mistake on python or any coding then I can simply help you to get better
 however if you lack on the general knowledge of statistics and have a hard time having a
 communication with coworkersclients then that will be the case where you either wont be able to work for our company or will have a very hard time Until I heard this from Mr Sweetnam I always thought that the most important thing for data analyst jobs has to be coding Overall after hearing Mr Sweetnams talk I could completely agree that statistical job is more focused on the general background of statistics and not just coding used for the data analysis",Sweetnam,1,328,0,1,0,0
39,"In Wednesdays lecture Quinn Sweernam gave us a big picture of his work in NBCUniversal At NBC data analytics are widely used in crossfunctional teams like marketing product and
 content For the decision sciences department most of the work is projectbased A project
 starts from data source validation analysis and collecting insights A data analyst needs to
 identify the business problems Except the technical skills such as SQL Excel and R
 communication skills and enthusiasm are quite important There are 30 of the time in talking
 with stakeholders and answering question We need to be comfortable when presenting our
 work to the executives",Sweetnam,0,103,0,1,0,0
40,"From todays talkedI learned
 1 The difference between a data analyst and a data scientist A data scientist role is usually more hardcore while a data analyst role can have more creative and business aspects 
 2 Data analytics can still be very useful for nontech companies with the proliferation of customer and operational data 
 3 8020 rule 80 data cleaning 20 modelfitting 
 4 Communication is the most important quality of an ideal candidate probably more important the technical aspect 
 5 A day in the life of data analytics is 50 around code and the other 50 turning insights into action",Sweetnam,1,104,0,1,0,0
41,"1 Soft techniques such as communication skills of explaining ideas to both stats and nonstats majors are important in the career
  2 In a data project the process is usually as following project kickoff  data source validation  data analysis  collect insights However 80 of time is spent on data source validation and data analysis which means that data cleaning and finding the robust columns of the data is essential 
 3 Willingness to learn is an impacted factor when evaluating an employee Figuring out the required skills for different roles can contribute to the future career success",Sweetnam,1,101,0,1,0,0
42,"Mr Sweetnams presentation taught me that it is ok to not meet all skill requirements for a job
 posting as long as you have mastery in some Having great communication skills is vital in the
 workforce as well as having a willingness to work Although it is not taught in school learning
 SQL or at least having some experience in the language is also really important",Sweetnam,1,66,0,1,0,0
43,"Mr Sweetnams talk was very informative and I learned quite a bit from it For one I
 learned the importance of SQL in industry and will be sure to keep my knowledge of the
 language current Also I learned about the differences between job positions based off of their
 names This information will be quite useful in future job searches in helping me pinpoint
 positions I am most interested in Furthermore Mr Sweetnam mentioned the importance of
 communication which was interesting to hear because I did not expect this ability to be entirely
 indispensable in the recruiting process Finally I learned about all the different ways data
 analytics are incorporated into the work performed by the entertainment industry which was
 quite eye opening because I am very unfamiliar with this industry Overall I learned quite a bit
 from Mr Sweetnams talk and I am very appreciative of the newfound knowledge I have
 acquired and will now be able to use to prepare myself effectively for the workforce",Sweetnam,1,167,0,1,0,0
44,"Mr Sweetnams talk offered great insight into being a datasavvy person in industry today He
 introduced a very unique concept to me in using the term data analyzer I had seen many maps
 and tables similar to the one he showed regarding overlapping yet contrasting roles of
 dataadjacent people including data scientists engineers and analysts but I had never seen
 one with as much detail as his While I found his spider chart a bit confusing to read I really
 liked the tabulated form of the comparisons between the different analyzers and the skills and
 tools that certain roles need to hammer home harder than others His resonating point of not
 necessarily being a jack of as trades and thus becoming a master of none was quite poignant
 as it seemed to be very logical advice following his structured outline of the similarities and
 differences between different data analyzers",Sweetnam,1,149,0,0.745,0.255,0.6249
45,"we had a guest speaker Quinn Sweetnam Senior data engineer from NBC Universal a media and entertainment company Mr Sweetnam gave us a presentation about some of his considerations for aspiring analyzers
 
 First of all Quinn gave us some example of applications of data analytics at an entertainment
 company For marketing data can decide the market strategy for different channels and what
 groups of programs should go together For product side data analysis could tell the effect on
 user acquisition of offering 2 free episodes before a paywall on our app and how can I structure
 my website to optimize customer conversions on the checkout page For the content side
 statistics could give an insight about what program should I acquire for my streaming service
 given that we will have a program A and what
 types of contents resonate with different groups of viewers
 
 The most interesting thing Quinn talked about is his idea about skills that we should prepare us
 with Instead of lots of programming languages or technical skills soft skills in his opinion
 would be more important Skills such as communication enthusiasm controllable during the
 interview willingness to learn and domain knowledge would be of value when we go deep into
 industry Technical skills are also important and we should learn SQL RPython visualization
 platform Ie Tableau and statistics knowledge But as he said If a company wants you to
 know 100 programming language they are expecting a god The idea is its never too late to
 learn a language but soft skills require us to learn and practice in advance",Sweetnam,1,266,0,1,0,0
46,"DrSweetnam talked about different types of data professionals including data business people data creatives data developers and data researchers After listening to his talk now I know that technical skill sets are needed for each profession and therefore I have a better understanding about the future opportunities 
 Mr Sweetnams talk is really helpful to me As a student pursing position like data analyst I know the skills that are important but never know how we can learn or improve them or how skills are implemented in industries Mr Sweetnam shared his work experiences that gave us concrete ideas of how to improve ourselves He also pointed out an important point for data analyst position that communication is the most important thing And we should practice it more",Sweetnam,1,128,0,1,0,0
47,"His role aims to solve problems revolving marketing product content analysis
 
 Past Projects he has worked on
 Parks  Annual pass holder study
 Cable  firm  marketing initiatives for series and movies
 News customer segmentation of viewing  web traffic
 Research  content correlations viewer segmentations streaming studies
 
 KPI Dashboards and Reporting  Tableau
 Promo Analysis  Recommendation
 Ad hoc analysis  deep dive
 
 Endtoend Data Project
 Most of the time is spent around asking the right questions and cleaning data After the data source is validated and cleaned the rest of the 20 of the project involves analysis and sometimes models such as logistic and K means It is important to be sure of the question so that what we learn from the analysis can actually result in a change and actions
 
 In an Applied Analytics Team 50 of time spent is around code and another 50 is spent talking with stakeholders trying to turn insights into action
 
 Aspiring Analyzers
 Important soft skills  communication enthusiasm willingness to learn dominion knowledge
 
 Technical skills  SQL RPython Visualization Platform Statistics
 
 Tips for Interview 
 If the interviewer gives a case it is probably something surrounding a problem theyve tried to solve or is currently solving
 
 A good data analyst acts like a translator taking a complex idea and explain it in a way that everyone can understand",Sweetnam,1,236,0.174,0.71,0.116,-0.2263
48,"Response to Mr Sweetnam
 1 SQL plays an essential role in the professional data science and it is important advanced SQl technical skills
 2 Data science has many applicable fields in the entertainment company such as marketing product and content
 3 It is important to figure out distinct segments of visitors to the website
 4 A data scientist should have both soft skills and technical skills During our academic study we pay much of attention to the technical skills In our future career the soft skill is also significant
 5 I found Sweetnams talk particularly interesting because he gave a lot of good advice and insight into what the near future could hold As someone who relates to the imposter syndrome that he mentioned it was reassuring to hear Sweetnam explain what most people are actually looking for in potential applicants It was also nice to hear that time spent at work in the data analyst field is spread fairly evenly between time in code and time interacting with people The resume advice he gave was also helpful",Sweetnam,1,178,0,0.857,0.143,0.25
49,"There were 3 main things I learned from Mr Sweetnams talk
 1 SQL is simply necessary for anyone who works with data today I already knew that SQL was important for most data scientists but I thought that only data engineers really needed to be experts in SQL however it seems that mastery of SQL is almost demanded for most datarelated jobs today I definitely need to brush up on my own SQL skills
 2 Individual work always builds on the work of others Mr Sweetnam constantly emphasized how he works as part of the team and even if they break off to do individual work for a while they always come back and see how their ideas fit together He also mentioned how he had a coworker who had done some analysis in his field before and he would essentially participate in a feedback loop with that coworker and bounce ideas off them This is something that I sometimes struggle to do especially if I want things done my way
 3 Communication is sometimes more important than technical skills This was a bit surprising to me since every jobinternship always lists the technical skills first and I assumed that communication would naturally assume second place in what makes candidates desirable It encouraged me to think about how I can work on my own presentation skills especially in explaining statistical concepts to a nonstatistical audience",Sweetnam,1,235,0,1,0,0
50,"I learned that some important skills that a data analyst should have include
 communication enthusiasm and a willingness to learn While I have seen communication emphasized as an essential soft skill in the workplace I did not realize just how much having enthusiasm for data and showing that you are willing to learn can impact an interviewers impression of you I also learned the importance of being able to create a visualization that properly expresses your analysis Additionally I learned about the slight differences between different data professions and how skills might differ between these professions which can help me when Im looking at job descriptions in my job search",Sweetnam,1,110,0,0.859,0.141,0.2023
51,"Interview recommend an answer with an action associated with it 
 any intelligent fool can make things bigger more complex It takes a touch of genius  and a lot of courage to move in the opposite direction
 Communication skill is harder to train for a company
 computers are useless They can only give you answers",Sweetnam,0,56,0,0.828,0.172,0.3612
